state,abbr,fips_char,electoral_votes
Alabama,AL,1,9
Alaska,AK,2,3
Arizona,AZ,4,11
Arkansas,AR,5,6
California,CA,6,55
Colorado,CO,8,9
Connecticut,CT,9,7
Delaware,DE,10,3
Florida,FL,12,29
Georgia,GA,13,16
Hawaii,HI,15,4
Idaho,ID,16,4
Illinois,IL,17,20
Indiana,IN,18,11
Iowa,IA,19,6
Kansas,KS,20,6
Kentucky,KY,21,8
Louisiana,LA,22,8
Maine,ME,23,4
Maryland,MD,24,10
Massachusetts,MA,25,11
Michigan,MI,26,16
Minnesota,MN,27,10
Mississippi,MS,28,6
Missouri,MO,29,10
Montana,MT,30,3
Nebraska,NE,31,5
Nevada,NV,32,6
New Hampshire,NH,33,4
New Jersey,NJ,34,14
New Mexico,NM,35,5
New York,NY,36,29
North Carolina,NC,37,15
North Dakota,ND,38,3
Ohio,OH,39,18
Oklahoma,OK,40,7
Oregon,OR,41,7
Pennsylvania,PA,42,20
Rhode Island,RI,44,4
South Carolina,SC,45,9
South Dakota,SD,46,3
Tennessee,TN,47,11
Texas,TX,48,38
Utah,UT,49,6
Vermont,VT,50,3
Virginia,VA,51,13
Washington,WA,53,12
West Virginia,WV,54,5
Wisconsin,WI,55,10
Wyoming,WY,56,3
"Washington, D.C.",DC,11,3
American Samoa,AS,60,0
Guam,GU,66,0
Northern Mariana Islands,MP,69,0
Puerto Rico,PR,72,0
Virgin Islands,VI,78,0
